"弹你狗头"	92032048
"不会吹口哨的厨子不是正经音乐人"	88549256
"2020冠军"	87864378
"与此同时"	86877270
"SANG"	86413302
"風林火山"	82956472
"To die"	82880620
"不要理我"	82247745
"Wild for the Night"	80419646
"多喝烫水"	79934663
"Грустная сука"	78657211
"沙巴克"	78400997
"成事在人"	75682718
"Hey"	75610447
"Crush"	75329652
"第一个你"	75085432
"多余和毛毛姐"	74654815
"道斗道"	74616713
"斗战胜佛"	73297409
"ZJ不说话"	72266626
"SKR人才"	72058413
"殺生門"	72057659
"暴雨"	39620124
"轰趴踢"	39517051
"Giao Beat"	38606901
"瓦解"	38300254
"Giao Giao"	38282032
"侠客行"	37631178
"Lovely"	37190501
"剋"	37146502
"囍"	37051281
"Alone"	36867900
