观沧海·壹	1453221722
成人世界	1444747893
许愿	1440767490
冬天的故事	1409144664
辽阔行	1391441815
孤独	1377957400
哦之歌-MIX	1361259829
幻觉中的梦	1356415182
出发！	1355319477
新生	1336934364
往东十里	1306536106
七夕之约	1301997973
梦	537372536
城南花开-吉他版	516137362
战士归乡	490183003
风吹草低见牛羊	490183004
口水歌	490183005
山顶上	490183006
孤独的呐喊	490183007
西城的你	490183008
奔向激流	490183009
二月十四	490381010
故乡	490381011
来回旋转	490381012
岁月的脚步	490381013
萨尔布拉克的星空	483334405
不停歇的风	476137617
Normand Corbeil - 暴雨	474502626
机器人买票	474003575
城南花已开	468176711
2.14	459829388
烟灰	41641321
逃亡	41641322
去年的秋	41641323
后山谷	41641324
王的故事	41641325
机器人打酱油	39637744
一剪梅-吉他-REMIX	37778222
漂浮坠落	33699161
城市病	33699162
奇幻之梦	33699163
回不到从前	33699164
战士归乡	33699165
寻	31445474
入俗	32217934
In Your Life	29844572
旅行意义	29844573
旅途	29844574
我的秋天	29844575
西城的你	29844576
雪晶	29844577
作	29844578
琵琶语	29836717
THE LAST OF YOU AND ME	29836718
植物大战僵尸	29836719
some one like you 吉他	29836720
Cruel	29836722
来自西域	29836723
In Your Life	29836724
故乡	29836725
来回旋转	29836726
