海棠摇红 (伴奏)	('1480331558', '伴奏')
海棠摇红 伴奏	1480331558
思狂	1477042574
思狂（伴奏）	1477042567
长城之下	1477556880
长城之下 伴奏	1477557951
沧海若平生	1365053071
七世劫	1365052176
若为龙者	1365052178
天地	1320915067
莫殊途	1321784806
余生	1320915075
波月十三年	1320914152
长记晓	1320910503
碧落	1321466750
陌路之人	1320914175
和垓下歌	1320913175
Adieu	1320913187
冠玉	1321469100
传说	1320911266
娑婆重制版	1321784826
波西米亚的踪迹	1361336698
《明月几时有》- 中古汉语版（翻自 邓丽君） 	1312378720
商颂	1306960261
致亲爱的你 -尤克里里版	1302547676
致亲爱的你 - 钢琴版	1302548541
娃娃	26902862
娑婆	206811
此生长	26902861
记得苏堤春晓	26902863
贪欢	26902864
相安	1302319992
社戏	206813
日暮归途	206815
菩提花	206817
美人	206819
英雄恨.忆云长	206821
君知无	28285707
