"West side part 1"	97371045
"2009"	96794536
"2005"	95716837
"mi's's"	93903237
"dream word 2"	93029114
"雨"	91692171
"纽曼"	91453608
"下雨"	90945968
"Time Flies"	90215739
"end"	89074982
"2020的垃圾桶"	87355393
"2019"	86535975
"无"	86494826
"5017"	85840889
"GET WAVE"	85616236
"tape首发"	85376556
"2020"	85453865
"《freestyle.type3》"	85089467
"M"	84030342
"锤子 wave"	84036381
"rush"	84246870
"2000w"	83757303
"麦克风坏了"	83435629
"get wave gaming"	82755443
"P话"	81182629
"搁浅"	80897443
"8.8.8"	80800471
"启示"	80660890
"YG xxx"	80395154
"SUMMER 2"	80140762
"summer"	80103647
"young boy"	79013722
"《再见》"	75687160
"《freestyle.type2》"	75338132
"自我"	75271653
"消 失"	74496067
"赤道车"	74217010
"freestytle作品"	74075555
"no"	72715169
"，"	72173977
"bad friend"	75455157
"《freestyle.type1》"	75329914
"无麻战士"	75235628
"dream word"	73657534
"梦"	73398459
"。"	72234238
"###黑化##"	38602357
"？"	72813833
