"幸福里的故事 电视原声带"	96460183
"简歌集"	82262640
"爸爸的山坡"	79831086
"半夏"	75815317
"一百年很长吗"	74269358
"平遥谣"	73257558
"平遥行"	72334675
"古画会唱歌"	72193476
"启航"	39592200
"花下面的根"	39539034
"无论"	38432183
" 一字歌"	37466163
"福建如你"	37444060
"一树桃花开"	35758283
"赵照"	35590249
"粽香"	35501318
"一匹白马"	35455480
"启程"	35194305
"过期荷尔蒙"	35023483
"当你老了"	34944167
"那时花开"	34720797
"花的心跳"	34701800
"犀安路999号"	34686198
"冬藏"	3414310
"伊萨贝拉"	3331047
"今晚的月亮"	3295849
"1980年代的爱情"	3288186
"在火光中唱歌"	3188085
"一把破吉他1999"	3172088
"声律启蒙"	3131124
"当你老了"	34944167
"舍不得过"	3104954
"回家吃饭"	3100400
"这一切绝不是真的"	2732024
"当你老了"	34944167
"糙"	2355005
"大经厂"	20330
"你就是我最想要的丫头"	20335
